Epoch id,t,Attendance,Contagion,Present contagion,New infections,New infections cost,Recovered,Revenues,Total costs
6,1,409,0,0,0,0,0,0,0
6,2,79,0,0,0,0,0,0,0
6,3,55,0,0,0,0,0,0,0
6,4,55,0,0,0,0,0,0,0
6,5,90,0,0,0,0,0,0,0
6,6,144,0,0,0,0,0,0,0
6,7,203,0,0,0,0,0,0,0
6,8,254,0,0,0,0,0,0,0
6,9,271,0,0,0,0,0,0,0
6,10,287,0,0,0,0,0,0,0
6,11,274,0,0,0,0,0,0,0
6,12,258,0,0,0,0,0,0,0
6,13,265,0,0,0,0,0,0,0
6,14,267,0,0,0,0,0,0,0
6,15,260,0,0,0,0,0,0,0
6,16,236,0,0,0,0,0,0,0
6,17,258,0,0,0,0,0,0,0
6,18,246,0,0,0,0,0,0,0
6,19,236,0,0,0,0,0,0,0
6,20,216,0,0,0,0,0,0,0
6,21,213,0,0,0,0,0,0,0
6,22,225,0,0,0,0,0,0,0
6,23,251,0,0,0,0,0,0,0
6,24,215,0,0,0,0,0,0,0
6,25,194,0,0,0,0,0,0,0
6,26,212,0,0,0,0,0,0,0
6,27,205,0,0,0,0,0,0,0
6,28,207,0,0,0,0,0,0,0
6,29,197,0,0,0,0,0,0,0
6,30,203,0,0,0,0,0,0,0
6,31,210,0,0,0,0,0,0,0
6,32,191,0,0,0,0,0,0,0
6,33,191,0,0,0,0,0,0,0
6,34,187,0,0,0,0,0,0,0
6,35,206,0,0,0,0,0,0,0
6,36,176,0,0,0,0,0,0,0
6,37,192,0,0,0,0,0,0,0
6,38,176,0,0,0,0,0,0,0
6,39,173,0,0,0,0,0,0,0
6,40,190,0,0,0,0,0,0,0
6,41,179,0,0,0,0,0,0,0
6,42,181,0,0,0,0,0,0,0
6,43,180,0,0,0,0,0,0,0
6,44,173,0,0,0,0,0,0,0
6,45,178,0,0,0,0,0,0,0
6,46,159,0,0,0,0,0,0,0
6,47,158,0,0,0,0,0,0,0
6,48,176,0,0,0,0,0,0,0
6,49,160,0,0,0,0,0,0,0
6,50,163,0,0,0,0,0,0,0
6,51,171,0,0,0,0,0,0,0
6,52,168,0,0,0,0,0,0,0
6,53,186,0,0,0,0,0,0,0
6,54,171,0,0,0,0,0,0,0
6,55,181,0,0,0,0,0,0,0
6,56,162,0,0,0,0,0,0,0
6,57,170,0,0,0,0,0,0,0
6,58,166,0,0,0,0,0,0,0
6,59,157,0,0,0,0,0,0,0
6,60,162,0,0,0,0,0,0,0
6,61,156,0,0,0,0,0,0,0
6,62,156,0,0,0,0,0,0,0
6,63,146,0,0,0,0,0,0,0
6,64,161,0,0,0,0,0,0,0
6,65,161,0,0,0,0,0,0,0
6,66,159,0,0,0,0,0,0,0
6,67,162,0,0,0,0,0,0,0
6,68,158,0,0,0,0,0,0,0
6,69,156,0,0,0,0,0,0,0
6,70,155,0,0,0,0,0,0,0
6,71,160,0,0,0,0,0,0,0
6,72,159,0,0,0,0,0,0,0
6,73,152,0,0,0,0,0,0,0
6,74,148,0,0,0,0,0,0,0
6,75,155,0,0,0,0,0,0,0
6,76,162,0,0,0,0,0,0,0
6,77,155,0,0,0,0,0,0,0
6,78,166,0,0,0,0,0,0,0
6,79,167,0,0,0,0,0,0,0
6,80,146,0,0,0,0,0,0,0
6,81,159,0,0,0,0,0,0,0
6,82,146,0,0,0,0,0,0,0
6,83,155,0,0,0,0,0,0,0
6,84,145,0,0,0,0,0,0,0
6,85,157,0,0,0,0,0,0,0
6,86,146,0,0,0,0,0,0,0
6,87,169,0,0,0,0,0,0,0
6,88,156,0,0,0,0,0,0,0
6,89,157,0,0,0,0,0,0,0
6,90,158,0,0,0,0,0,0,0
6,91,151,0,0,0,0,0,0,0
6,92,157,0,0,0,0,0,0,0
6,93,148,0,0,0,0,0,0,0
6,94,160,0,0,0,0,0,0,0
6,95,148,0,0,0,0,0,0,0
6,96,156,0,0,0,0,0,0,0
6,97,151,0,0,0,0,0,0,0
6,98,161,0,0,0,0,0,0,0
6,99,150,0,0,0,0,0,0,0
6,100,156,0,0,0,0,0,0,0
