,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
0,20907225,5,0,200,2000,2000,0.61,0.84,5,8,1.0,0.88,50,1221.64,0.0,0.0,19.75576877775198,0.0,0.0,22,0.18135390468225737,0,0.0
1,28476525,5,1,200,2000,2000,0.12,0.95,9,1,0.67,0.25,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2,55081790,5,2,200,2000,2000,0.84,0.57,2,10,0.31,0.63,50,1689.35,0.0,0.0,20.957755127875693,0.0,0.0,25,0.2422124639281466,0,0.0
3,60430861,5,3,200,2000,2000,0.33,0.95,8,3,0.43,0.74,50,228.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
4,27549290,5,4,200,2000,2000,0.63,0.33,8,7,0.35,0.33,50,1261.82,0.0,0.0,22.29187295854702,0.0,0.0,8,0.1401572542961993,0,0.0
5,86276904,5,5,200,2000,2000,0.74,0.39,3,3,0.04,0.31,50,1569.33,0.0,0.0,203.85441152940496,0.0,0.0,3,0.39883550669618806,0,0.0
6,66823678,5,6,200,2000,2000,0.35,0.87,9,1,0.58,0.67,50,157.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
7,88012395,5,7,200,2000,2000,0.18,0.88,4,2,0.18,0.44,50,92.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
8,23687697,5,8,200,2000,2000,0.05,0.66,6,10,0.35,0.9,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
9,19568729,5,9,200,2000,2000,0.14,0.87,1,4,0.89,0.98,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
10,92914385,5,10,200,2000,2000,0.88,0.1,9,5,0.8,0.82,50,1746.89,0.0,0.0,15.64410112470512,0.0,0.0,22,0.18200261585966007,0,0.0
11,96404377,5,11,200,2000,2000,0.43,0.33,4,10,0.37,0.89,50,735.97,246.09,246.01,0.38613469152615637,206.60847489878049,206.54261037374346,4,0.5383232729711533,15,0.853000442389313
12,79779710,5,12,200,2000,2000,1.0,0.08,1,6,0.43,0.8,50,2000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
13,88718540,5,13,200,2000,2000,0.97,0.69,1,10,0.01,0.22,50,1957.56,0.0,0.0,41.36382960993819,0.0,0.0,3,0.3679788171176242,0,0.0
14,11673435,5,14,200,2000,2000,0.97,0.36,8,6,0.24,0.93,50,1941.16,0.0,0.0,16.433940489121895,0.0,0.0,2,0.46356518055765383,0,0.0
15,87798120,5,15,200,2000,2000,0.85,0.55,6,6,0.59,0.28,50,1689.99,0.0,0.0,15.089396939573167,0.0,0.0,32,0.1551068712314424,0,0.0
16,24021861,5,16,200,2000,2000,0.89,0.04,6,8,0.48,0.25,50,1780.78,0.0,0.0,13.374288766136315,0.0,0.0,12,0.18396767290056104,0,0.0
17,89642849,5,17,200,2000,2000,0.56,0.5,4,10,0.85,0.46,50,838.61,0.0,0.0,20.66731477478388,0.0,0.0,2,0.3380860326372351,0,0.0
18,54870049,5,18,200,2000,2000,0.46,0.65,2,2,0.16,0.83,50,920.1,0.0,0.0,3.4452866353904428,0.0,0.0,2,0.7020050547598988,0,0.0
19,34950526,5,19,200,2000,2000,0.44,0.94,5,9,0.55,0.95,50,551.31,0.0,0.0,0.966385016440135,0.0,0.0,2,0.716220152050542,0,0.0
20,82712308,5,20,200,2000,2000,0.6,0.66,8,4,0.04,0.27,50,1272.02,0.0,0.0,174.41559448627294,0.0,0.0,3,0.5164616970817558,0,0.0
21,64320879,5,21,200,2000,2000,0.59,0.41,7,10,0.26,0.28,50,1194.61,0.0,0.0,21.807290065480398,0.0,0.0,25,0.2150219247750906,0,0.0
22,75801910,5,22,200,2000,2000,0.91,0.69,3,2,1.0,0.87,50,1818.77,0.0,0.0,11.430533670830947,0.0,0.0,4,0.19780007362783963,0,0.0
23,93088052,5,23,200,2000,2000,0.73,0.86,6,4,0.58,0.91,50,1431.64,0.0,0.0,18.630362315317434,0.0,0.0,4,0.1933145255529972,0,0.0
24,4904701,5,24,200,2000,2000,0.9,0.74,6,5,0.77,0.43,50,1791.94,0.0,0.0,15.299555549100113,0.0,0.0,15,0.19537492886937774,0,0.0
25,39287856,5,25,200,2000,2000,0.8,0.62,8,7,0.13,0.39,50,1657.19,0.0,0.0,44.13880265707261,0.0,0.0,2,0.7384440225580718,0,0.0
26,4631113,5,26,200,2000,2000,0.09,0.5,7,9,0.98,0.77,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
27,39008781,5,27,200,2000,2000,0.42,0.78,1,6,0.54,0.96,50,452.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
28,31225243,5,28,200,2000,2000,0.91,0.51,2,10,0.66,0.6,50,1815.13,0.0,0.0,12.239816175090214,0.0,0.0,39,0.15312351857080592,0,0.0
29,1809888,5,29,200,2000,2000,0.28,0.24,6,8,0.71,0.68,50,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
30,1793293,5,30,200,2000,2000,0.44,0.2,2,1,0.25,0.85,50,877.96,658.65,658.5,0.7605261336732616,133.09518210664126,133.10713729924478,2,0.7226279391424627,4,0.9601461077198667
31,45153585,5,31,200,2000,2000,0.56,0.99,7,9,0.35,0.31,50,1120.56,0.0,0.0,11.825667000216098,0.0,0.0,18,0.11056667887053208,0,0.0
32,18169199,5,32,200,2000,2000,0.14,0.84,3,3,0.1,0.54,50,52.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
33,1824917,5,33,200,2000,2000,0.73,0.52,1,7,0.32,0.77,50,1474.24,0.0,0.0,19.534646144734744,0.0,0.0,11,0.26871755523550167,0,0.0
34,40413860,5,34,200,2000,2000,0.58,0.42,2,7,0.71,0.42,50,1011.07,0.0,0.0,14.551463843888698,0.0,0.0,11,0.21834111391479666,0,0.0
35,35375623,5,35,200,2000,2000,0.54,0.69,4,9,0.28,0.26,50,1082.51,0.0,0.0,13.53033259014722,0.0,0.0,35,0.2006122524784249,0,0.0
36,1368727,5,36,200,2000,2000,0.94,0.23,2,4,0.31,0.57,50,1881.75,0.0,0.0,16.81212360173455,0.0,0.0,2,0.29315224794134037,0,0.0
37,8791069,5,37,200,2000,2000,0.3,0.24,7,9,0.2,0.49,50,364.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
38,73284646,5,38,200,2000,2000,0.37,0.82,6,7,0.2,0.57,50,645.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
39,76228593,5,39,200,2000,2000,0.71,0.77,2,9,0.67,0.48,50,1366.14,0.0,0.0,16.69072796495108,0.0,0.0,30,0.17519581420659877,0,0.0
40,74620260,5,40,200,2000,2000,0.1,0.07,3,3,0.52,0.12,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
41,36642914,5,41,200,2000,2000,0.54,0.32,7,1,0.21,0.19,50,1088.6,0.0,0.0,17.920937475478226,0.0,0.0,5,0.2931871964130028,0,0.0
42,89623070,5,42,200,2000,2000,0.33,0.98,6,8,0.11,0.67,50,531.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
43,53427386,5,43,200,2000,2000,0.11,0.91,1,5,0.22,0.48,50,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
44,59229505,5,44,200,2000,2000,0.27,0.84,8,5,0.97,0.21,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
45,80532585,5,45,200,2000,2000,0.06,0.08,1,6,0.13,0.47,50,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
46,88022935,5,46,200,2000,2000,0.79,0.19,7,1,0.14,0.21,50,1637.42,0.0,0.0,51.265618108045864,0.0,0.0,2,0.8165181467394189,0,0.0
47,58208481,5,47,200,2000,2000,0.33,0.86,9,3,0.95,0.92,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
48,9141027,5,48,200,2000,2000,0.05,0.52,5,7,0.44,0.67,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
49,84085600,5,49,200,2000,2000,0.3,0.94,3,3,0.34,0.5,50,225.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
50,92135711,5,50,200,2000,2000,0.28,0.07,6,3,0.12,0.51,50,333.0,233.1,233.1,0.0,101.29506404558911,101.29506404558911,0,0.0,10,0.8999999999999997
51,98550845,5,51,200,2000,2000,0.07,0.37,2,9,0.14,0.88,50,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
52,85981288,5,52,200,2000,2000,0.73,0.8,5,5,0.18,0.54,50,1514.0,0.0,0.0,27.793164627296402,0.0,0.0,22,0.31179608005592524,0,0.0
53,43022162,5,53,200,2000,2000,0.19,0.1,6,7,0.36,0.35,50,42.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
54,12233399,5,54,200,2000,2000,0.84,0.99,7,7,0.39,0.43,50,1680.46,0.0,0.0,20.001209963399713,0.0,0.0,24,0.18714739516518492,0,0.0
55,4504346,5,55,200,2000,2000,0.78,0.46,7,4,1.0,0.1,50,1563.35,0.0,0.0,16.53201439631602,0.0,0.0,11,0.14126405239519574,0,0.0
56,98890845,5,56,200,2000,2000,0.7,0.52,5,10,0.93,0.55,50,1276.52,0.0,0.0,19.391998349834914,0.0,0.0,3,0.18995868630095605,0,0.0
57,77972569,5,57,200,2000,2000,0.25,0.92,9,6,0.56,0.94,50,26.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
58,78852763,5,58,200,2000,2000,0.85,0.62,7,9,0.39,0.28,50,1700.99,0.0,0.0,17.673423550631043,0.0,0.0,17,0.22337667788592216,0,0.0
59,57360640,5,59,200,2000,2000,0.8,0.75,5,9,0.75,0.22,50,1566.95,0.0,0.0,18.61148838755246,0.0,0.0,24,0.12726902674028348,0,0.0
60,66197226,5,60,200,2000,2000,0.23,0.12,2,2,0.36,0.51,50,66.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
61,10170005,5,61,200,2000,2000,0.6,0.46,6,6,0.2,0.84,50,1229.37,0.0,0.0,18.951862705285723,0.0,0.0,38,0.21482087049392046,0,0.0
62,62988574,5,62,200,2000,2000,0.74,0.53,1,1,0.17,0.37,50,1535.82,0.0,0.0,31.357416985459757,0.0,0.0,2,0.2736088119081335,0,0.0
63,79101250,5,63,200,2000,2000,0.59,0.03,6,7,0.19,0.34,50,1243.88,883.42,545.44,31.801974781450287,101.88858424769676,66.89025639059847,14,0.6435421414372803,15,0.8053196177012254
64,97142515,5,64,200,2000,2000,0.8,0.67,3,8,0.96,0.32,50,1551.67,0.0,0.0,18.22309249276862,0.0,0.0,38,0.15085808255874836,0,0.0
65,57302534,5,65,200,2000,2000,0.05,0.09,4,7,0.4,0.13,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
66,32273878,5,66,200,2000,2000,0.74,0.13,8,3,0.17,0.09,50,1536.37,0.0,0.0,30.59956045435947,0.0,0.0,35,0.17419408221283647,0,0.0
67,53688123,5,67,200,2000,2000,0.89,0.76,2,10,0.05,0.62,50,1829.34,0.0,0.0,102.96040209711693,0.0,0.0,2,0.37559233375786555,0,0.0
68,80955820,5,68,200,2000,2000,0.1,0.02,3,4,0.26,0.6,50,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
69,44854009,5,69,200,2000,2000,0.5,0.76,5,6,0.25,0.74,50,999.99,0.0,0.0,7.99311578797655,0.0,0.0,16,0.21508851946864843,0,0.0
