,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
827,25563115,6,827,200,2000,2000,0.09,0.94,8,3,0.91,0.68,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
828,98251145,6,828,200,2000,2000,0.61,0.6,7,6,0.72,0.69,50,1093.78,0.0,0.0,16.942006964937775,0.0,0.0,44,0.2342630706862938,0,0.0
829,60442204,6,829,200,2000,2000,0.4,0.44,5,4,0.7,0.67,50,209.0,125.41,125.4,0.0,54.72185943478164,54.736094124444065,0,0.0,10,0.900206473113095
830,6702944,6,830,200,2000,2000,0.93,0.83,7,10,0.52,0.52,50,1858.15,0.0,0.0,13.396548062840665,0.0,0.0,22,0.32478331731371973,0,0.0
831,70878755,6,831,200,2000,2000,0.88,0.05,2,9,0.13,0.76,50,1793.47,0.0,0.0,39.14242072228032,0.0,0.0,2,0.639573246144858,0,0.0
832,43391858,6,832,200,2000,2000,0.38,0.94,6,1,0.41,0.53,50,436.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
833,82028473,6,833,200,2000,2000,0.89,0.65,6,8,0.19,0.29,50,1798.35,0.0,0.0,23.687707782729845,0.0,0.0,2,0.37290545929255986,0,0.0
834,18652133,6,834,200,2000,2000,0.57,0.4,5,4,0.44,0.42,50,1117.05,0.0,0.0,13.891274239608114,0.0,0.0,7,0.23582896083537383,0,0.0
835,55814674,6,835,200,2000,2000,0.3,0.85,3,7,0.14,0.8,50,323.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
836,44772548,6,836,200,2000,2000,0.77,0.53,4,7,0.85,0.09,50,1485.44,0.0,0.0,17.67275869806409,0.0,0.0,3,0.15511398332001397,0,0.0
837,7954622,6,837,200,2000,2000,0.94,0.99,9,9,0.72,0.39,50,1877.13,0.0,0.0,12.105911778961552,0.0,0.0,38,0.1589429223946815,0,0.0
838,82285599,6,838,200,2000,2000,0.41,0.43,2,6,0.54,0.32,50,390.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
839,12889406,6,839,200,2000,2000,0.36,0.1,9,4,0.28,0.83,50,524.0,375.32,375.32,0.0,137.19496200662763,137.19496200662763,0,0.0,14,0.857581916614332
840,67911837,6,840,200,2000,2000,0.85,0.85,9,4,0.45,0.52,50,1698.05,0.0,0.0,18.50911937397347,0.0,0.0,4,0.15420848688291314,0,0.0
841,42196380,6,841,200,2000,2000,0.66,0.04,3,5,0.61,0.23,50,1315.95,703.81,457.67,158.30201356900045,121.37740275685586,205.89181892440507,10,0.8894278932433981,10,0.8817258172777077
842,73379565,6,842,200,2000,2000,0.79,0.62,5,5,0.85,0.43,50,1534.23,0.0,0.0,20.769619640234144,0.0,0.0,29,0.19302498672275376,0,0.0
843,31196182,6,843,200,2000,2000,0.21,0.58,6,1,0.5,0.32,50,23.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
844,38799055,6,844,200,2000,2000,0.47,0.3,8,6,0.03,0.61,50,941.63,565.73,559.88,6.614612611483759,122.36011237327301,118.20010829098254,2,0.3565818650564188,15,0.8295109918903201
845,71768400,6,845,200,2000,2000,0.81,0.57,1,8,0.91,0.25,50,1578.6,0.0,0.0,19.735754355990547,0.0,0.0,11,0.1532847240051348,0,0.0
846,30541096,6,846,200,2000,2000,0.15,0.89,9,2,0.35,0.55,50,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
847,16945832,6,847,200,2000,2000,0.19,0.77,8,2,0.77,0.86,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
848,38109174,6,848,200,2000,2000,0.73,0.94,9,3,0.24,0.77,50,1497.73,0.0,0.0,22.882244208119097,0.0,0.0,9,0.26229793671508117,0,0.0
849,19735795,6,849,200,2000,2000,0.84,0.21,3,2,0.47,0.1,50,1676.36,0.0,0.0,16.452063700338627,0.0,0.0,8,0.21082036306888374,0,0.0
850,59923683,6,850,200,2000,2000,0.39,0.55,9,7,0.13,0.74,50,779.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
851,19450184,6,851,200,2000,2000,0.6,0.14,3,5,0.99,0.57,50,1040.34,0.0,0.0,28.552485005687334,0.0,0.0,7,0.454533521481411,0,0.0
852,31343087,6,852,200,2000,2000,0.51,0.67,6,8,0.96,0.25,50,483.47,0.0,0.0,32.7302474784411,0.0,0.0,3,0.7350010123506782,0,0.0
853,8406496,6,853,200,2000,2000,0.07,0.82,8,8,0.46,0.97,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
854,5402589,6,854,200,2000,2000,0.3,0.7,7,2,0.09,0.12,50,353.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
855,83064191,6,855,200,2000,2000,0.14,0.5,3,3,0.37,0.29,50,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
856,50798346,6,856,200,2000,2000,0.65,1.0,8,2,0.17,0.7,50,1348.69,0.0,0.0,23.94564469794037,0.0,0.0,40,0.2259922193103205,0,0.0
857,39230426,6,857,200,2000,2000,0.11,0.24,5,2,0.04,0.31,50,42.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
858,55954754,6,858,200,2000,2000,0.87,0.77,2,4,0.26,0.1,50,1752.34,0.0,0.0,24.62974624311018,0.0,0.0,2,0.28131161225957946,0,0.0
859,97010649,6,859,200,2000,2000,0.47,0.89,5,6,0.49,0.93,50,776.02,0.0,0.0,5.632015624978327,0.0,0.0,2,0.827784461342514,0,0.0
860,79807464,6,860,200,2000,2000,0.28,0.46,7,3,0.62,0.73,50,44.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
861,86920495,6,861,200,2000,2000,0.48,0.51,2,6,0.36,0.53,50,932.72,0.0,0.0,3.6416479785943063,0.0,0.0,2,0.3468082282680825,0,0.0
862,11998939,6,862,200,2000,2000,0.55,0.92,5,1,0.16,0.72,50,1116.98,0.0,0.0,18.3188318404859,0.0,0.0,4,0.43774706209793446,0,0.0
863,59135180,6,863,200,2000,2000,0.58,0.92,4,1,0.4,1.0,50,1154.61,0.0,0.0,13.895967040835986,0.0,0.0,50,0.1547606162469918,0,0.0
864,5740494,6,864,200,2000,2000,0.27,0.98,4,1,0.46,1.0,50,90.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
865,35714358,6,865,200,2000,2000,0.29,0.01,2,3,0.73,0.89,50,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
866,45406874,6,866,200,2000,2000,0.37,0.6,8,7,0.6,0.31,50,193.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
867,38300259,6,867,200,2000,2000,0.58,0.56,7,3,0.57,0.92,50,1091.78,0.0,0.0,13.412367427117408,0.0,0.0,2,0.21000442488698762,0,0.0
868,69776717,6,868,200,2000,2000,0.31,0.56,6,10,0.65,0.49,50,61.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
869,92959692,6,869,200,2000,2000,0.07,0.55,7,4,0.09,0.11,50,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
870,75632676,6,870,200,2000,2000,0.92,0.44,7,5,0.05,1.0,50,1876.02,0.0,0.0,77.74779482403343,0.0,0.0,2,0.763648853455502,0,0.0
871,977555,6,871,200,2000,2000,0.46,0.3,7,8,0.31,0.54,50,911.81,473.45,470.76,1.7360587547660937,300.1877870600335,300.65246115739683,2,0.6885026045986928,16,0.8436240704453365
872,47269576,6,872,200,2000,2000,0.71,0.11,3,3,1.0,0.43,50,1418.5,1078.62,845.29,18.33875677356565,52.49110019803357,43.889473681054774,28,0.1791799232850643,7,0.8309589260845474
873,48410022,6,873,200,2000,2000,0.17,0.53,3,1,0.47,0.61,50,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
874,55791584,6,874,200,2000,2000,0.12,0.6,6,4,0.18,0.83,50,18.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
875,79771781,6,875,200,2000,2000,0.44,0.95,5,3,0.86,0.3,50,186.19,0.0,0.0,1.72449992751522,0.0,0.0,18,0.22791687682840708,0,0.0
876,34942594,6,876,200,2000,2000,0.22,0.58,8,3,0.25,0.64,50,112.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
877,26395220,6,877,200,2000,2000,0.02,0.41,5,1,0.84,0.81,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
878,32769278,6,878,200,2000,2000,0.83,0.88,6,7,0.76,0.74,50,1636.29,0.0,0.0,18.34518737980073,0.0,0.0,9,0.16846359144473314,0,0.0
879,82447867,6,879,200,2000,2000,0.46,0.84,8,4,0.45,0.94,50,783.82,0.0,0.0,1.872858777377515,0.0,0.0,3,0.6433538601893034,0,0.0
880,6636228,6,880,200,2000,2000,0.35,0.44,3,6,0.15,0.35,50,589.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
881,90986606,6,881,200,2000,2000,0.65,0.18,6,9,0.33,0.72,50,1306.54,812.8,616.05,20.862128366971575,112.4060496592599,85.97690096764363,29,0.18187286491414628,17,0.7290401040908198
