Epoch id,t,Attendance,Contagion,Present contagion,New infections,New infections cost,Recovered,Revenues,Capacity,A2,A2 cost,Total A costs,Total costs
2,1,1193,100,64,0,0,0,0,1500,0,0,0,0
2,2,763,100,0,0,0,0,0,1500,0,0,0,0
2,3,903,100,0,0,0,0,0,1500,0,0,0,0
2,4,924,100,0,0,0,0,0,1500,0,0,0,0
2,5,807,100,0,0,0,0,0,1500,0,0,0,0
2,6,1108,712,68,612,91800,0,0,1500,0,0,0,91800
2,7,657,712,247,0,0,0,0,1500,1,30000,30000,30000
2,8,678,712,47,0,0,0,0,1500,1,30000,30000,30000
2,9,824,712,63,0,0,0,0,1500,1,30000,30000,30000
2,10,862,712,55,0,0,0,0,1500,1,30000,30000,30000
2,11,882,612,0,0,0,100,0,1500,1,30000,30000,30000
2,12,1351,612,474,0,0,0,0,1500,1,30000,30000,30000
2,13,575,612,231,0,0,0,0,1500,1,30000,30000,30000
2,14,938,612,332,0,0,0,0,1500,1,30000,30000,30000
2,15,1068,612,384,0,0,0,0,1500,1,30000,30000,30000
2,16,809,612,279,0,0,0,0,1500,1,30000,30000,30000
2,17,944,0,0,0,0,612,0,1500,1,30000,30000,30000
2,18,967,0,0,0,0,0,0,1500,1,30000,30000,30000
2,19,860,0,0,0,0,0,0,1500,0,0,0,0
2,20,950,0,0,0,0,0,0,1500,0,0,0,0
2,21,863,0,0,0,0,0,0,1500,0,0,0,0
2,22,932,0,0,0,0,0,0,1500,0,0,0,0
2,23,929,0,0,0,0,0,0,1500,0,0,0,0
2,24,883,0,0,0,0,0,0,1500,0,0,0,0
2,25,917,0,0,0,0,0,0,1500,0,0,0,0
2,26,913,0,0,0,0,0,0,1500,0,0,0,0
2,27,925,0,0,0,0,0,0,1500,0,0,0,0
2,28,905,0,0,0,0,0,0,1500,0,0,0,0
2,29,938,0,0,0,0,0,0,1500,0,0,0,0
2,30,905,0,0,0,0,0,0,1500,0,0,0,0
2,31,862,0,0,0,0,0,0,1500,0,0,0,0
2,32,946,0,0,0,0,0,0,1500,0,0,0,0
2,33,919,0,0,0,0,0,0,1500,0,0,0,0
2,34,800,0,0,0,0,0,0,1500,0,0,0,0
2,35,977,0,0,0,0,0,0,1500,0,0,0,0
2,36,865,0,0,0,0,0,0,1500,0,0,0,0
2,37,918,0,0,0,0,0,0,1500,0,0,0,0
2,38,900,0,0,0,0,0,0,1500,0,0,0,0
2,39,934,0,0,0,0,0,0,1500,0,0,0,0
2,40,855,0,0,0,0,0,0,1500,0,0,0,0
