t,Attendance,Contagion,Present contagion,New infections,New infections cost,Recovered,Revenues,Capacity,A1,A1 cost,A2,A2 cost,A3,A3 cost,Total A costs,Total costs
83,655,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
84,711,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
85,798,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
86,701,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
87,714,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
88,812,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
89,684,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
90,721,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
91,781,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
92,717,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
93,722,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
94,822,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
95,646,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
96,729,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
97,795,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
98,695,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
99,726,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
100,813,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0
