
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (59) 59 / 100 excecuted, epsilon 0.8742857142857157, random actions 0, random actions on zero 0, max actions 1
 - Run (60) 60 / 100 excecuted, epsilon 0.8857142857142871, random actions 0, random actions on zero 0, max actions 1
 - Run (61) 61 / 100 excecuted, epsilon 0.8971428571428586, random actions 0, random actions on zero 0, max actions 1
 - Run (62) 62 / 100 excecuted, epsilon 0.90857142857143, random actions 0, random actions on zero 0, max actions 1
 - Run (63) 63 / 100 excecuted, epsilon 0.9200000000000015, random actions 0, random actions on zero 0, max actions 1
 - Run (64) 64 / 100 excecuted, epsilon 0.9314285714285729, random actions 0, random actions on zero 0, max actions 1
 - Run (65) 65 / 100 excecuted, epsilon 0.9428571428571444, random actions 0, random actions on zero 0, max actions 1
 - Run (66) 66 / 100 excecuted, epsilon 0.9542857142857158, random actions 0, random actions on zero 0, max actions 1
 - Run (67) 67 / 100 excecuted, epsilon 0.9657142857142873, random actions 0, random actions on zero 0, max actions 1
 - Run (68) 68 / 100 excecuted, epsilon 0.9771428571428588, random actions 0, random actions on zero 0, max actions 1
 - Run (69) 69 / 100 excecuted, epsilon 0.9885714285714302, random actions 0, random actions on zero 0, max actions 1
 - Run (70) 70 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (71) 71 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (72) 72 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (73) 73 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (74) 74 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (75) 75 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (76) 76 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (77) 77 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (78) 78 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (79) 79 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (80) 80 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (81) 81 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (82) 82 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (83) 83 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (84) 84 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (85) 85 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (86) 86 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (87) 87 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (88) 88 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (89) 89 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (90) 90 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (91) 91 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (92) 92 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (93) 93 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (94) 94 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (95) 95 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (96) 96 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (97) 97 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (98) 98 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (99) 99 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
 - Run (100) 100 / 100 excecuted, epsilon 1.0000000000000016, random actions 0, random actions on zero 0, max actions 1
